Species	F1	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F2	F3	F4	F5	F6	F7	F8	F9	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S4	S5	S6	S7	S8	S9
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;g__Peptococcus;s__Peptococcus_niger	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;g__Peptococcus;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	61.0	10.0	0.0	0.0	0.0	0.0	15.0	4.0	9.0	30.0	24.0	8.0	0.0	16.0	56.0	0.0	28.0	35.0	0.0	51.0	63.0	14.0	0.0	24.0	6.0	6.0	29.0	0.0	12.0
k__Bacteria;__;__;__;__;__;__	461.0	470.0	97.0	4.0	1411.0	1084.0	439.0	1207.0	1076.0	379.0	514.0	85.0	71.0	0.0	341.0	32.0	2.0	2.0	326.0	68.0	99.0	258.0	113.0	67.0	227.0	10.0	161.0	125.0	945.0	161.0	251.0	129.0	633.0	562.0	85.0	232.0	92.0	319.0	56.0	27.0	367.0	148.0	1036.0	51.0	172.0	52.0	81.0	154.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii	2324.0	3142.0	2089.0	778.0	6507.0	6127.0	5472.0	3670.0	6158.0	7744.0	3054.0	2647.0	1637.0	3642.0	2015.0	4513.0	8004.0	661.0	6271.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;__;__;__	1442.0	4422.0	3783.0	3394.0	3901.0	7482.0	4172.0	5705.0	3983.0	2103.0	7487.0	588.0	699.0	756.0	2623.0	1603.0	643.0	333.0	1347.0	357.0	607.0	83.0	0.0	355.0	9.0	324.0	616.0	272.0	487.0	782.0	0.0	407.0	454.0	410.0	633.0	472.0	1046.0	10.0	611.0	237.0	156.0	420.0	21.0	1020.0	819.0	1006.0	756.0	1131.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__;g__Gemmiger;s__Gemmiger_formicilis	0.0	0.0	0.0	164.0	0.0	0.0	0.0	0.0	89.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruthenibacterium;s__Ruthenibacterium_lactatiformans	0.0	141.0	728.0	17.0	0.0	0.0	0.0	0.0	32.0	19.0	0.0	0.0	0.0	30.0	46.0	0.0	13.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;__;__	1093.0	2204.0	2078.0	1249.0	5473.0	5694.0	2035.0	1218.0	6222.0	3397.0	2611.0	2027.0	1792.0	2394.0	1421.0	4166.0	745.0	1861.0	2948.0	98.0	0.0	86.0	24.0	636.0	14.0	45.0	60.0	194.0	6.0	175.0	227.0	46.0	58.0	616.0	234.0	185.0	432.0	0.0	138.0	12.0	1508.0	178.0	4.0	146.0	335.0	500.0	55.0	371.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;__	570.0	4984.0	513.0	9923.0	582.0	681.0	474.0	1071.0	1799.0	522.0	297.0	324.0	69.0	846.0	938.0	2542.0	2001.0	474.0	4235.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Mediterraneibacter;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
