Species	F1	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F2	F3	F4	F5	F6	F7	F8	F9	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S4	S5	S6	S7	S8	S9
K__Bacteria;P__Bacillota;C__Clostridia;O__Eubacteriales;F__Peptococcaceae;G__Peptococcus;__	0.0	0.0	0.0	0.0	0.0	75.0	36.0	19.0	13.0	0.0	7.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	61.0	10.0	0.0	0.0	0.0	0.0	15.0	4.0	9.0	30.0	24.0	8.0	0.0	16.0	56.0	0.0	28.0	35.0	0.0	51.0	63.0	14.0	0.0	24.0	6.0	6.0	29.0	0.0	12.0
K__Bacteria;__;__;__;__;__;__	172.0	12.0	39.0	15.0	74.0	316.0	310.0	1280.0	662.0	52.0	287.0	0.0	16.0	9.0	220.0	34.0	2.0	5.0	41.0	1594.0	498.0	4733.0	414.0	6263.0	1179.0	1586.0	2353.0	1384.0	3980.0	2073.0	1747.0	1797.0	1518.0	4746.0	3384.0	2268.0	4752.0	455.0	4168.0	1719.0	1518.0	1746.0	1235.0	3620.0	1664.0	2225.0	458.0	1744.0
K__Bacteria;P__Bacillota;C__Clostridia;O__Eubacteriales;F__Oscillospiraceae;G__Faecalibacterium;S__Faecalibacterium butyricigenerans strain AF52-21	2324.0	2762.0	2089.0	775.0	6507.0	6130.0	5472.0	3670.0	6012.0	7744.0	3054.0	2503.0	1637.0	3642.0	2015.0	4513.0	8004.0	661.0	6275.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0
K__Bacteria;P__Bacillota;C__Clostridia;O__Eubacteriales;F__Oscillospiraceae;__;__	155.0	3456.0	2208.0	2411.0	1409.0	1843.0	1597.0	505.0	1100.0	531.0	1296.0	342.0	472.0	289.0	281.0	912.0	13.0	331.0	703.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales;F__Tannerellaceae;G__Parabacteroides;S__Parabacteroides pekinense strain BCGU	148.0	1063.0	608.0	1095.0	556.0	518.0	619.0	99.0	603.0	275.0	0.0	89.0	376.0	185.0	420.0	251.0	0.0	29.0	910.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	15.0	3.0	0.0	0.0	0.0
K__Bacteria;P__Bacillota;C__Clostridia;O__Lachnospirales;F__Lachnospiraceae;__;__	3219.0	14350.0	20902.0	5194.0	13347.0	12766.0	11507.0	5915.0	10966.0	6904.0	9255.0	3761.0	2557.0	3959.0	4634.0	4796.0	6714.0	3577.0	9720.0	484.0	181.0	218.0	158.0	2044.0	262.0	167.0	586.0	804.0	971.0	743.0	579.0	69.0	410.0	728.0	537.0	431.0	1043.0	81.0	709.0	239.0	1879.0	189.0	56.0	1225.0	585.0	894.0	367.0	747.0
K__Bacteria;P__Bacillota;C__Clostridia;__;__;__;__	1058.0	142.0	1017.0	155.0	2210.0	1778.0	1562.0	2739.0	2132.0	213.0	4444.0	84.0	128.0	242.0	1679.0	28.0	16.0	9.0	39.0	334.0	607.0	83.0	0.0	355.0	9.0	324.0	616.0	272.0	487.0	782.0	0.0	407.0	454.0	410.0	629.0	472.0	1028.0	10.0	611.0	217.0	156.0	420.0	21.0	1020.0	819.0	1006.0	756.0	1131.0
K__Bacteria;P__Bacillota;C__Clostridia;O__Lachnospirales;F__Lachnospiraceae;G__Brotolimicola;S__Brotolimicola acetigignens	0.0	81.0	0.0	0.0	635.0	339.0	93.0	0.0	941.0	407.0	33.0	22.0	55.0	49.0	273.0	607.0	110.0	0.0	201.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K__Bacteria;P__Bacillota;C__Clostridia;O__Eubacteriales;__;__;__	191.0	962.0	326.0	679.0	1629.0	333.0	711.0	705.0	576.0	823.0	508.0	196.0	116.0	228.0	140.0	13.0	41.0	6.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K__Bacteria;P__Bacillota;C__Erysipelotrichia;O__Erysipelotrichales;F__Coprobacillaceae;G__Thomasclavelia;__	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
